dataset,round,method,train_time,adj_r2,rmse,mae,nan_detected
feats5_snr3_N100000,7,torch_MP,0.4307762999960687,0.744753882855841,1.6781062290271311,1.336979866027832,False
feats5_snr3_N100000,8,torch_MP,0.5131727999832947,0.7471501099940285,1.6694862913041295,1.327581524848938,False
feats5_snr3_N100000,9,torch_MP,0.15131580000161193,0.7462587526031803,1.6715977519096672,1.3298472166061401,False
feats5_snr3_N10000,0,torch_MP,0.034897000005003065,-1.1427063845996148,6.258752721287261,4.280257701873779,False
feats5_snr3_N10000,1,torch_MP,0.005130999983521178,,,,True
feats5_snr3_N10000,2,torch_MP,0.005151099991053343,,,,True
feats5_snr3_N10000,3,torch_MP,0.005242300016107038,,,,True
feats5_snr3_N10000,4,torch_MP,0.08417919999919832,0.7390117327905341,2.19887094135787,1.7426304817199707,False
feats5_snr3_N10000,5,torch_MP,0.005059100018115714,,,,True
feats5_snr3_N10000,6,torch_MP,0.13394549998338334,0.7444254942879851,2.1701320542969635,1.7303199768066406,False
feats5_snr3_N10000,7,torch_MP,0.0837908000103198,0.7413539153769535,2.2040640270466385,1.7473328113555908,False
feats5_snr3_N10000,8,torch_MP,0.004205400007776916,,,,True
feats5_snr3_N10000,9,torch_MP,0.006942500011064112,,,,True
feats5_snr3_N500000,0,torch_MP,0.8284355999785475,0.7487948363540782,1.1441845678015905,0.9128710031509399,False
feats5_snr3_N500000,1,torch_MP,0.036458500020671636,,,,True
feats5_snr3_N500000,2,torch_MP,0.5473590999899898,0.7487203290579569,1.1416785717549967,0.9107503890991211,False
feats5_snr3_N500000,3,torch_MP,0.12396199998329394,-1.307542937160901,3.463031763771047,2.593040943145752,False
feats5_snr3_N500000,4,torch_MP,1.2825105000229087,0.7481978838975556,1.1453255250614294,0.9140241146087646,False
feats5_snr3_N500000,5,torch_MP,0.017904000007547438,,,,True
feats5_snr3_N500000,6,torch_MP,0.12306470001931302,-0.6891423931361929,2.960003627568677,2.2198336124420166,False
feats5_snr3_N500000,7,torch_MP,0.013738599984208122,,,,True
feats5_snr3_N500000,8,torch_MP,1.386492099991301,0.7474208622077677,1.1455594804823794,0.9137848615646362,False
feats5_snr3_N500000,9,torch_MP,0.637604800023837,0.7477959617393599,1.1458361481140704,0.9140592217445374,False
