dataset,n_feats,snr,N,round,method,train_time,adj_r2,rmse,mae
feats5_snr3_N100000,5,3,100000,0,LR,0.0069790000561624765,0.7372046875670124,1.7123483896465326,1.3651587668540544
feats5_snr3_N100000,5,3,100000,1,LR,0.007958700065501034,0.7369867663009888,1.7079964990907675,1.3605050593466743
feats5_snr3_N100000,5,3,100000,2,LR,0.007399699999950826,0.7332512665688868,1.7174306098917196,1.366828402295212
feats5_snr3_N100000,5,3,100000,3,LR,0.0071066999807953835,0.73514630344155,1.7140095236158126,1.3665839904431003
feats5_snr3_N100000,5,3,100000,4,LR,0.007091299979947507,0.733096762695022,1.7145813386011235,1.3670793420740759
feats5_snr3_N100000,5,3,100000,5,LR,0.00664370006415993,0.7360403123047665,1.7130308202551041,1.3671034499224415
feats5_snr3_N100000,5,3,100000,6,LR,0.0073284999234601855,0.7326555689360454,1.7173173761194023,1.367087156659945
feats5_snr3_N100000,5,3,100000,7,LR,0.008315799990668893,0.7328246355357955,1.716871487394589,1.368600960062563
feats5_snr3_N100000,5,3,100000,8,LR,0.006585199967958033,0.7348423024115146,1.7096343072664657,1.3599197700725565
feats5_snr3_N100000,5,3,100000,9,LR,0.006152699934318662,0.7342674584206538,1.7106398250826367,1.361160825333543
feats5_snr3_N10000,5,3,10000,0,LR,0.0009787000017240644,0.7441013257827522,2.16290875191522,1.7175802781088332
feats5_snr3_N10000,5,3,10000,1,LR,0.0006668000714853406,0.7460976336524461,2.169808693807056,1.7255729508998945
feats5_snr3_N10000,5,3,10000,2,LR,0.0007874000584706664,0.7433659670562884,2.1800724091137447,1.7233969142973649
feats5_snr3_N10000,5,3,10000,3,LR,0.0009876999538391829,0.7433270950273438,2.165243252496038,1.7162138063429164
feats5_snr3_N10000,5,3,10000,4,LR,0.0008491999469697475,0.7418136800813007,2.187028389412554,1.7377572777115273
feats5_snr3_N10000,5,3,10000,5,LR,0.0007071000291034579,0.7270638006160669,2.211294721113436,1.7493911382082143
feats5_snr3_N10000,5,3,10000,6,LR,0.0007909000851213932,0.7416924178352137,2.181697418384045,1.7358690733350128
feats5_snr3_N10000,5,3,10000,7,LR,0.0007441999623551965,0.7441575996414365,2.19208674660066,1.7335260802464214
feats5_snr3_N10000,5,3,10000,8,LR,0.000713899964466691,0.7342652694172469,2.21152992142197,1.7534813348738834
feats5_snr3_N10000,5,3,10000,9,LR,0.0007756000850349665,0.7407881743061211,2.1975293955897466,1.738976527742388
feats5_snr3_N500000,5,3,500000,0,LR,0.03870230005122721,0.7205917150766055,1.206704383552242,0.9602052982733699
feats5_snr3_N500000,5,3,500000,1,LR,0.050013800035230815,0.721998197817315,1.2047218217215026,0.9594249046717589
feats5_snr3_N500000,5,3,500000,2,LR,0.045994400046765804,0.719539356548027,1.2061488211765785,0.9598597711341446
feats5_snr3_N500000,5,3,500000,3,LR,0.04109919990878552,0.719906026559226,1.2065157463594203,0.9602215038992111
feats5_snr3_N500000,5,3,500000,4,LR,0.03814099996816367,0.7192315822146913,1.209408815810255,0.9626061595306848
feats5_snr3_N500000,5,3,500000,5,LR,0.04074209998361766,0.7202552094444665,1.2080308077810646,0.9609997240378195
feats5_snr3_N500000,5,3,500000,6,LR,0.04115639999508858,0.7189018271911769,1.2075007948467456,0.9608679245074376
feats5_snr3_N500000,5,3,500000,7,LR,0.06377899996004999,0.7191047985132548,1.2080179806129152,0.9619263440950038
feats5_snr3_N500000,5,3,500000,8,LR,0.04442010005004704,0.7190567376343551,1.2081696352181657,0.9612791587260725
feats5_snr3_N500000,5,3,500000,9,LR,0.05163410003297031,0.7198419923158033,1.2076668866510862,0.9611332663896167
